"name","category","evas","longitude","latitude"
"Nürnberg Hbf",1,"08000284",11.082989,49.445616
"Nürtingen",3,"08004488",9.34280187,48.6280656
"Oberesslingen",3,"08004528",9.327267,48.729876
"Oberhausen Hbf",2,"08000286",6.851588,51.474878
"Oberstdorf",3,"08004585",10.278097,47.411032
"Offenbach (Main) Ost",3,"08004645",8.78442362,50.1027107
"Offenburg",2,"08000290",7.946723,48.476475
"Oldenburg (Oldb) Hbf",2,"08000291",8.222713,53.144323
"Opladen",3,"08000853",7.008775,51.066175
"Oranienburg",3,"08013487,08089197",13.249613,52.753653
"Osnabrück Hbf",2,"08000294",8.061781,52.272851
"Ostseebad Binz",3,"08011191",13.600507,54.404819
"Paderborn Hbf",2,"08000297",8.740505,51.712979
"Passau Hbf",3,"08000298",13.450776,48.573632
"Petershausen (Oberbay)",3,"08004775",11.469881,48.41345
"Pforzheim Hbf",2,"08000299",8.703099,48.894152
"Pinneberg",3,"08004819",9.797608,53.655179
"Plattling",3,"08000301",12.86394,48.779619
"Plauen (Vogtl) ob Bf",3,"08010275",12.129419,50.506163
"Plochingen",2,"08000302",9.41081,48.71308
"Potsdam Hbf",2,"08012666,08089184",13.0667031,52.391509
"Potsdam Park Sanssouci",3,"08010377",13.014512,52.394108
"Radolfzell",3,"08000880",8.968984,47.735873
"Rastatt",3,"08000306",8.215623,48.860483
"Recklinghausen Hbf",3,"08000307",7.20349,51.616359
"Regensburg Hbf",2,"08000309",12.099617,49.011672
"Remagen",3,"08000310",7.23026991,50.5770029
"Rendsburg",3,"08000312",9.671134,54.302262
"Renningen",3,"08000313",8.93235,48.775121
"Reutlingen Hbf",3,"08000314",9.209116,48.496079
"Rheda-Wiedenbrück",3,"08000315",8.28665,51.857023
"Rheine",2,"08000316",7.434255,52.276299
"Riesa",3,"08010297",13.287734,51.309654
"Rosenheim",2,"08000320",12.119202,47.850018
"Rostock Hbf",2,"08010304",12.131079,54.078246
"Roth",3,"08005185",11.082508,49.241287
"Rottweil",3,"08000322",8.639295,48.165304
"Rüsselsheim",3,"08005220",8.413583,49.991639
"Saalfeld (Saale)",3,"08010309",11.3745832,50.6502734
"Saarbrücken Hbf",2,"08000323",6.991021,49.241065
"Saarlouis Hbf",3,"08005247",6.750169,49.32783
"Schifferstadt",3,"08000326",8.364945,49.39291
"Schorndorf",3,"08005424",9.52631,48.80715
"Schwabach",3,"08005439",11.035351,49.326195
"Schweinfurt Hbf",3,"08000032",10.212919,50.035313
"Schwelm",3,"08000033",7.289681,51.290526
"Schwerin Hbf",3,"08010324",11.407455,53.634739
"Schönebeck (Elbe)",3,"08010318",11.733157,52.018794
"Schönefeld (bei Berlin)",3,"08010109,08089486",13.51271,52.391062
"Siegburg/Bonn",3,"08005556",7.203026,50.793915
"Siegen Hbf",3,"08000046",8.016508,50.875939
"Singen (Hohentwiel)",2,"08000073",8.84126902,47.7588801
"Soest",3,"08000076",8.104589,51.578419
"Solingen Hbf",2,"08000087",7.004187,51.160766
"St. Ingbert",3,"08005649",7.110814,49.274763
"Stendal Hbf",3,"08010334",11.854412,52.594723
"Sternschanze",3,"08070146",9.967204,53.563719
"Stralsund Hbf",3,"08010338",13.077321,54.308626
"Straubing",3,"08000095",12.574094,48.876978
"Stuttgart Feuersee",3,"08006699",9.166273,48.772768
"Stuttgart Hbf",1,"08000096,08098096",9.182757,48.78478
"Stuttgart Schwabstraße",3,"08006698",9.156959,48.770255
"Stuttgart Stadtmitte",3,"08006700",9.172925,48.776229
"Stuttgart-Bad Cannstatt",3,"08005769",9.217531,48.801377
"Stuttgart-Feuerbach",3,"08005770",9.16913332,48.8136825
"Stuttgart-Untertürkheim Pbf",3,"08005775",9.250569,48.779751
"Stuttgart-Vaihingen",3,"08005776",9.113226,48.726279
"Stuttgart-Zuffenhausen",3,"08005778",9.16697234,48.8294396
"Traunstein",3,"08000116",12.638801,47.869727
"Treuchtlingen",3,"08000122",10.908159,48.961267
"Trier Hbf",2,"08000134",6.652453,49.756846
"Troisdorf",3,"08000135",7.150892,50.813922
"Tuttlingen",3,"08000163",8.798542,47.980579
"Tutzing",3,"08005927",11.27289,47.907142
"Tübingen Hbf",2,"08000141",9.05539513,48.5156414
"Uelzen",2,"08000168",10.553053,52.969781
"Ulm Hbf",2,"08000170",9.98260796,48.3993985
"Unna",3,"08000171",7.692858,51.538982
